Survey Id,Practice,TriggerDate,product type,survey Type,question text,Response
29,Water,06-24-16,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),I got very good support from CMU. that made possible to submit the project in time. I didn't seek support from CCSA and other GPs. But both fiduciary and safeguards' support was vital. Legal help was also very good and timely. They also supported me very well on international water safeguard issues and in seeking exception of VP for that.best regards Srinivas
30,Transportation,06-26-16,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),This is a problem project because of difficulties within the implementation agency and at this stage there is little the Bank can do.
31,Agriculture,12-31-15,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),Stupid survey
32,Agriculture,12-31-15,Lending,Non-Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),This was a diificult case.  The GP has since changed the team composition to address the CMU's concerns. I am hopeful things will bebetter now.
33,Water,02-26-16,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"As the project is not expect to achieve its development outcomes, a level 1 restructuring is underway."
34,Env,06-29-16,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),TTL has conducted country dialogue for entire duration of project. Resources for supervision were limited and the project team was reduced to the TTL and required fiduciary and safeguards staff. 
35,Social and Urban,12-30-15,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),I was only TTL for the ICR and clousure of the projekt. 
36,Energy,06-25-16,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),World Bank's support for development of Hydro is very important and also well appreciated by clients. Hydro projects require long preparation time and more than normal level of resources (funds as well as manpower). Even though risks are high the rewards are also high and long term positive development impacts are significant (assuming the projects are prepared and implemented in a socially and environmentally sustainable manner). It would be good if internally the staff are encouraged and given space to take up such high risk projects and the incentive system is aligned accordingly.
37,Social and Urban,09-11-16,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),CMU has shown strong willingness to support the activity and provided guidance on time on issues that have cropped up.  
38,Energy,04-30-16,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"The CMU was largely absent in the ROC deliberations, but we got great support from the MNA Chief Economist.  Subsequent to the operation, the Egyptian government received a number of complaints from bidders that we had not included a domestic prefrence clause in the advanced procurement packages worth $150 million.  In countries with high unemployment, we should recommended such clauses in the procurement plan prior to their approval.  While the procurement team is of the view that such a clause would barely make an impact on outcomes, it could have in this case, and may provide political cover for our clients facing such criticisms.  "
39,Health,06-24-16,Lending,Non-Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),This project has been in problem status for some time. The team worked hard to improve performance but many changes in the Health ministry meant that progress has been slow. 
40,Education,12-16-15,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"IQ TEEP closed on June 30, 2014 and the ICR has already been submitted to the Board on time.As the last TTL to the project, I agree that the Task Team has benefitted from the support of both the CMU and GP (Education) and that the support extended through our fiduciary colleagues as well as our safeguards task members was exemplary."
41,Agriculture,12-23-15,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),The project has been successfully closed and achieved its Development Objectives.
42,Finance,06-25-16,Lending,Non-Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"As shown in the ICR this project achieved good outcomes. Initial restructuring after difficult start was slow, but eventually the project implemented on time with all objectives and indicators met. "
43,Governance,07-16-16,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"Need to streamline processes leading to CMU's role on providing support to TTLs to better serve clients on project restructurings. In particular, there are two key areas of opportunity on the CMU side: (1) reduce clearance response times throughout a multi-staged project restructuring process; and (2) embrace a client oriented stance by engaging on dialogue with counterparts on the ground during project restructuring, especially in those cases when restructuring process time from the Bank side is taking much longer than expected. To streamline Bank's processes on project restructuring, I propose to undertake a sort of ""forensic audit"" on IBTAL's recent restructuring process leading to analyze point- to- point the whole process to  identify those bottlenecks and windows of opportunity (starting from any from the TTL side) both from the operational and client dialogue perspective, with the aim of assessing possible ways to better serve clients. "
44,Labor,03-25-16,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"The activity is already closed, so cannot answer the question on ""likely to achieve"".  It was rated MS."
45,Social and Urban,04-28-16,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),This project was started well before the current structure so the good collaboration between the CMU and the GP was set in motion years ago and continued under the current structure.  
46,Water,12-19-15,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"This is a CMU where we feel in full partnership.  We expect and receive corrections and directions, as appropriate, but at end of day feel very clearly that we are working together for client.  This is very much the case at the level of CD, CPC, Ops Advisor, PL who are our main counterparts.  "
47,Transportation,05-29-16,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"High impact project, brought together IFIs and Government to develop a key section of a regional corridor connecting Ukraine with Europe, among the most important infrastructure investments during the past decade. Set the stage for current sector reform project which addresses key bottlenecks, and reform of road sector institution. During crisis managed to deliver incredibly well, maintaining quality, outcome and disbursements.  Highly valued by Client."
48,Social and Urban,04-01-16,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"This survey is very poorly worded.The first set of questions assume that the GP has no country knowledge, flies in from DC, while the CMU sits in-country and has all country knowledge. This is not only inconsistent with the Bank's decentralization policy, it is really not the case. Country context knowledge lies with individuals that have been in-country for some time, irrespective of their mapping, and relationships to counterparts are built up over time and often through projects, and rely on LRS. They rarely rely on the CMU counterparts (normally the Ministry of Finance) and the CMU is often asking the GP staff for support to make contacts in sectors, and not the other way around.Moreover support from a Country Manager can be highly dependent on their skill base.  Not all country managers can engage well in all sectors.The questions in this survey are the wrong questions."
49,Social and Urban,04-01-16,Lending,Non-Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"Overall a strong team, with passion and with strong delivery - very positive. Message from CMU to team:  more evidence based analysis earlier on can be important to help develop strong counterpart ownership.  The team took this lesson to heart, after an initial focus on advocacy."
50,Water,05-08-16,Lending,Non-Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"The project is the best that can be designed in the given high risk context, so the low rating of development outcomes is not a reflection of the team.  The Governance GP should have been involved, but did not provide inputs on time, thus the low rating of cross GP collaboration"
51,Water,05-08-16,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"Small Grants procedures should be more flixible, less reviews and approvals steps.. As well with less paper works neededSpecially those for additional financing and restructuring."
52,Governance,04-28-16,Lending,Non-Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"This project was approved in 2010 as a flagship for the Brazil program and tried a new, innovative structure -- what we call in Brazil a multisector Sector-wide approach. It has a transversal public sector component that worked to support better service delivery in education, health, transport and private sector development.  (For full disclosure, I was the original co-TTL with Jose Guilherme Reis). The networks at the time worked very closely together --also with the operatinal groups --  to create the right structure of incentives within the project and it has proven a very popular approach in Brazil: highly customized with a focus on results and support during implementation.  It was one of the projects that helped inspire the P4R instrument. Since the organizational restructuring the project has completed implementation of TA -- the great majority of the project was completed under the old structure."
53,Governance,04-28-16,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),Since this operation started seven years ago and has now closed (we are finalizing the ICR) none of the questions is really relevant. However my overall view is that in most projects the GPs are tending to act disconnected from the CMUs and seem to have little sense of the importance of the client and country relations. This is something which urgently needs to be fixed in the operating model.
54,Education,01-29-16,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),CMU role during supervision is minimal. CMU role during ICR left much to be desired. They participated in QER and had the ICR which they could have reviewed over a month before it was finaly sent for clearances. Yet on the last few days the Senior Country Officer provided extensive comments which not only did not add value but substantially increased the transactions costs associated with getting the ICR cleared and out in a timely manner. 
55,Social and Urban,08-03-16,Lending,Non-Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"This was an extremely difficult project to implement, and closed with few successes.  However, in terms of team performance, it is important to note that there was permanent dialogue between the team (composed of HQ staff and local office staff) and the CMU, in an effort to try to address the challenges faced by this project."
56,Health,12-24-15,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"This was one of the first projects that involved different sectors,human health and animal health sectors. The project team have been supported strongly and monitored closely by both sector managers and country office managment. The project has set up a good example for working across sectors, collabration among different stakeholders not only among donors but also for the borrower."
57,Health,12-24-15,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),This operation was completed before organizational reform.
58,Labor,12-29-15,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters)," I think the mechanisms and incentives for cross-GP collaboration are yet to function, partly for the reason that people feel comfortable working in silos (could be the organisational culture) or used to of incentives where the strength of GP is determined by the number of lending programs it is managing. I feel that compared to previous model, there is less of interaction between the GPs senior management and the CMUs, partly for the reson that the CMUs continue to work as ""regions"" whereas the GPs are now functioning as ""global"". For Senior Directors and Directors, a CMU in a country is ""one of many"" whereas the Practice Manager has no more easy access to Director level support as they used to have to resolve issues with the VPUs-- by leveraging the previous VP modl.  As staff, we now look at only one person i.e. the PM to resolve all outstanding issues."
59,Governance,12-23-15,Lending,Non-Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),This activity closed in June 2014- before the GP model was introduced.
60,Water,09-29-16,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"The CMU was very supportive not only for the project, but also to the rural water sector. the CMU supported a high-level policy dialogue that paved the ground for major sector reforms. The CMU also provided direct funding (from the local country office) so additional (important) activities, such as the development of policy notes and complementary sector analysis. "
61,Labor,04-12-16,Non Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"This was a highly unusual task, started by President's office/Legal to return disputed assets (not by the usual practice/CMU combination) so it doesn't fit well the parameters of this survey and most of the questions don't apply."
62,Health,06-23-16,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"I think we have an internal problem of accountability. If we want to achieve results on the  field (in this case the development outcomes) and you have several TTLs in charge of one project during the project life at the end any of the TTLs is going to be responsible for the results achieve or not achieve. And we know that from practice and science, accountability is weaken when share by a group.Suggestion: To have (ideally) only one TTL for the live of the Project (or the minimum possible) that way he/she will be accountable/recognize for the results achieve or not. The team can change its composition (consultants may left) but the TTL must stay. "
63,Transportation,06-25-16,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),close collaboration with CMU and clients/borrower was key 
64,Health,05-29-16,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"I don't understand the ""CMU"" focus of this survey when the ICR is written by the SMU, the engagement is done by the SMU, and the actual approval of the final ICR is done by the SMU.  I don't really understand what the role of the CMU is under our new structure, other than our team keeping them politely aware/engaged to the extent possible."
65,Social and Urban,06-05-16,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"Quality assurance and approval process needs to be more clear and standard across GPs. As TTL I have to ask several people to make sure I was following the right review and clearance process for the post-MTR ISR.  Fortunately, everybody was very helpful and supportive."
66,Transportation,06-26-16,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"The CMU is our point of contact with the client and it provides a good support to the team. The work relationship between GP and CCSAs, at least on this specific project is not much, but I believe that it should be strengthened. The fiduciary and Safeguard team provide satisfactory support to the project."
67,Env,12-16-15,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"Regarding resources: This is a category A project due to sensitive social issues (waste picker compensation) and environmental manaement issues. Yet the annual supervision budget allocated is 55K only. After after year, the budget ran out at about mid-year and one year, the second SPN mission could not be carried out due to lack of resources. Regarding cross-GP coordination. Soon after the establishment of the GPs, a critical locally-based team member from another GP informed the TTL that his practice manager had asked him not to work this project anymore. This was very disruptive as this team member had been involved in the project for a long time, his role in the team involved frequent travel to the project sites and there was no replacement for his skills in the country. It took several months and my GP PM talking to with his GP PM to sort out this issue so he could stay in the team."
68,Water,02-20-16,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),This project was prepared before the GPs came into place.
69,Water,02-20-16,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"The CMU have been trying to actively engage and support the project, but the parallel lines of communication with the client has resulted in confusion. The project is listed as a problem project and so the CMU instituted a series of parallel reporting requirements to track procurement processes, disbursements etc. The responsibility for reporting on these fell on the TTL, taking away from other tasks and imposing additional burdens on the client and taking away time that may have been better spent addressing the problems with the project itself.Procurement has become less a part of the team and more of an external oversight mechanism,issuing instructions rather than providing solutions and proactively engaging to support the team and the client. The strict applciation of systems like PROCYS creates a linear process that creates unnecessary delays, requires TTLs to be in the office and on the system as opposed to spending time with the client and on the issues.  "
70,Education,09-30-16,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"The only confusing area is when we submitted the ICR for CD clearance and we were told that the CD was not supposed to clear according to  the ADM.  However, when we provided the link from the system to clarify this issue she did sign-off.  I continue to have the same interaction with the client that I had before and the interactions with other GPs as and when needed continues to be the same.  "
71,Trade,07-31-16,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),Need to find additional ways to foster collaboration between GPs and CMUs
7.20E+01,Agriculture,07-20-16,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),The CMU shows no interest in technical elements of the operation.  Its sole focus is disbursement.
73,Agriculture,01-23-16,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"I was not yet employed with the Bank during the design of the project, I joined one year into project implementation.The project progress towards attaining its PDO has not been satisfactory and is now being restructured. I am confident that the restructuring is placing the project back on track towards achieving its objective "
74,Trade,06-11-16,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),This survey is confusing since the majority of the project was implemented prior to the new operational model. It's unclear what timeframe this is referring to.
75,Social and Urban,01-28-16,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),Government conterpart engagement and government support was determinent to achieve project result. Alignment of project activities and objectives with beneficiaries need also is success factor.
76,Health,01-06-16,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"This is a Satisfactory rated project with high levels of disbursement. While Fiduciary services are excellent, safeguards are not precisely the best support. The indicator should be divided to show differences. "
77,Governance,01-09-16,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),Preparatio o fthe project was somooth. No major changes were noticed with respect as it worked before.
78,Social and Urban,05-20-16,Non Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"I believe the project will achieve much more and integrated development outcomes if got more support from CMU, GPs and CCSAs"
79,Social and Urban,12-29-15,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"The Project has a major component on water (supply and sanitation), hence is a collaboration project.  This needs to be recognized.  "
80,Transportation,09-29-16,Lending,Non-Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),The penetration of ICT services (particularly mobile phones across Solomon Islands) has expanded rapidly during the project implementation period. This would not have been possible without the Bank's project. 
81,Env,12-31-15,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"The PCB Management is a Trust Fund and therefore has a limited budget (US$6.3M) which is extremely small for a large country like Nigeriaand therefore the impacts would not be felt. Moreover, Nigeria is attracting financing in the range of US$500M to US$1B for large infrastructure projects and for small social sector projects it is attracting financing in the range of US$40M to US$100M. Therefore, for any project to be successful in a large country like Nigeria the impact should be wide spread across the 36 states of Nigeria, where the poverty issue is quite endemic."
82,Transportation,04-03-16,Lending,Non-Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),The first ever broadband fiberoptic cable connecting Tonga to the world (in this case via a link to Fiji) became operational in August 2013. It is already beginning to transform Tonga.
83,Governance,01-20-16,Non Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"This activity spanned several years. Not much related to the new model, but some aspects did."
84,Education,01-29-16,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"CMU role during supervision was minimal. During ICR CMU role was counterproductive. They were invited to QER but did not join. They had the completed ICR more than a month before the deadline. Yet only a few days before the deadline the Senior Country Officer provided extensive comments. These not only did not add value, they actually were not at all helpful or based on sound understanding and in fact greatly increased transactions costs for GP to try to maintain good quality of ICR."
85,Governance,04-30-16,Non Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"The support we got from OPCS and the CMU on closing this legacy Pcode (which was migrated to the new portal and didnt have supporting documentation) was ABISSMAL!! The Task team spent countless of wasted hours trying to get the right information and support for how to proceed.  No one helped, other than to harrass us that it was due."
86,Education,12-24-15,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"Insufficient attention was paid to whether or not the Ministry of Finance would provide none, some, or all of the DPL resources to the Minister of Education.   This uncertainty--and the subsequent feeling that the DPL was a de facto ""unfunded mandate"" because the Ministry of Finance was not passing the resource on, lowered client implementation ownership and development effectiveness. "
87,Social and Urban,06-22-16,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"The rating on Fuduciary and safeguards support is lower than others. I would want to clarify that while Fiduciary team and Environmental Safeguards team provide excellent support to the team, the social safeguards does not. I cannot provide detail with the limitation of 1000 characters. Contact me if you want further info."
88,Education,01-06-16,Non Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),Got it!!
89,Education,07-31-16,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),The project was funded via the Catslytic fund of the FTI and involved intensive coordination with other DPs active in the education sector in Senegal
90,Education,01-06-16,Non Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"GEQIP1 has signficantly contributed to improving the learning conditions and enhancing the capacity of education institutions in Ethiopia. The project has recognized that improving the quality of education takes time and requires concerted efforts by all stakeholders, including the government and development partners. The project has also taken a holistic approach to improve the quality of general education by adapting the concept of school effectiveness modle, i.e. making interventions in multiple domains, including curriculum and teaching and learning materials; teacher quality and professional development; school leadership and management; linkage between schools and communities; school improvment programs etc. The next phase of the project, which is underway, will consolidate and complete reforms which started in phase 1."
91,Water,12-17-15,Lending,Non-Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"As you can see, this has been a problem project for a while."
92,Agriculture,06-25-16,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),The MTR of SMARTD is recently completed and a restructuring is being prepared to enable achievement of intended or marginally modified  development outcomes. Better understanding of likely achievement of PDOs can be expressed after this restructuring.
93,Water,06-04-16,Lending,Non-Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),The team regularly has had dialogue with the CMU and sought to address issues jointly.  There has also been very strong collaboration between the operational GP team and the WSP team located in the Lima Office.
94,Finance,01-30-16,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"The CMU was not supportive of the policy dialogue.  The GP worked well with other GPs on pensions, in particular the social protection. Resources were ok, given that TF resources were available. "
95,Water,04-22-16,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),There is no support from CCSAs and CMU on implementation of this critical cross sector project in Egypt. This must be rectified immediately.
96,Labor,12-23-15,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),The ratings provided above do not reflect the new operational model as the project was largely implemented under the previous model.
97,Labor,06-26-16,Non Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),This was a best practice AAA with huge impact.  It was aligned to deliver on CAS results and worked synergistically with project financing.
98,Transportation,01-16-16,Non Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"This operating model is a mess.  The CMU is now a bunch of silos -- with the program leader fighting for turf w the ops advisor.  In mexico the program leader is pRticularly weak -- but very few program leaders ever develop external contacts w govtt.  They r in the field - they are usually not particularly good technical people -- their incentive is to suck up to the bureaucracy.  In most cases they focus inwards and do little more than add another bureaucratic layer.  The reform has made things worse -- we now have 2 battling CMU bureaucracies each trying to prove they can 'control' TTLs more effectively.  GPS, CMUs and regions are all bullying TtLs constantly to prepare for their abcd meetings -- the too many people telling a few ttls what to do has been exacerbated 3 times.No ttl trusts a program leader from outside their GP _ the interests of the ttl and GP are completely misaligned w ose of the program leader who needs a job with their GP when they return"
99,Agriculture,03-03-16,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"Lack in consistency of Safeguards support (Env and Social) has been at time a major constraint for speed implementation.  The situation has improved significantly in the recent two years. This has been a systemic problem in our Tunisia portfolio and is not specific to PNO4. The CMU provided a lot of support in addressing across-the-board and well-know slowlyness of procurement processes in Tunisia. A lot remain to be done though and the reduction in Bank procurement staff is not helping. Overall, squaring off the real impact of the so-called Arab Spring on the project implementation and the need to increase disbursement rate has created at time un-healthy and un-productive tensions with internal and external clients. "
100,Education,12-25-15,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),The project started off at a low pace due to low client capacity and difficult post conflict environment 
